         220         209
   0.100000E+02   0.000000E+00  -0.000000E+00
   0.841253E+01   0.540641E+01  -0.000000E+00
   0.415415E+01   0.909632E+01  -0.000000E+00
  -0.142315E+01   0.989821E+01  -0.000000E+00
  -0.654861E+01   0.755749E+01  -0.000000E+00
  -0.959493E+01   0.281732E+01  -0.000000E+00
  -0.959493E+01  -0.281733E+01  -0.000000E+00
  -0.654861E+01  -0.755750E+01  -0.000000E+00
  -0.142315E+01  -0.989822E+01  -0.000000E+00
   0.415415E+01  -0.909632E+01  -0.000000E+00
   0.841254E+01  -0.540640E+01  -0.000000E+00
   0.100000E+02   0.000000E+00  -0.683105E-01
   0.841253E+01   0.540641E+01  -0.683105E-01
   0.415415E+01   0.909632E+01  -0.683105E-01
  -0.142315E+01   0.989821E+01  -0.683105E-01
  -0.654861E+01   0.755749E+01  -0.683105E-01
  -0.959493E+01   0.281732E+01  -0.683105E-01
  -0.959493E+01  -0.281733E+01  -0.683105E-01
  -0.654861E+01  -0.755750E+01  -0.683105E-01
  -0.142315E+01  -0.989822E+01  -0.683105E-01
   0.415415E+01  -0.909632E+01  -0.683105E-01
   0.841254E+01  -0.540640E+01  -0.683105E-01
   0.100000E+02   0.000000E+00  -0.272774E+00
   0.841253E+01   0.540641E+01  -0.272774E+00
   0.415415E+01   0.909632E+01  -0.272774E+00
  -0.142315E+01   0.989821E+01  -0.272774E+00
  -0.654861E+01   0.755749E+01  -0.272774E+00
  -0.959493E+01   0.281732E+01  -0.272774E+00
  -0.959493E+01  -0.281733E+01  -0.272774E+00
  -0.654861E+01  -0.755750E+01  -0.272774E+00
  -0.142315E+01  -0.989822E+01  -0.272774E+00
   0.415415E+01  -0.909632E+01  -0.272774E+00
   0.841254E+01  -0.540640E+01  -0.272774E+00
   0.100000E+02   0.000000E+00  -0.611994E+00
   0.841253E+01   0.540641E+01  -0.611994E+00
   0.415415E+01   0.909632E+01  -0.611994E+00
  -0.142315E+01   0.989821E+01  -0.611994E+00
  -0.654861E+01   0.755749E+01  -0.611994E+00
  -0.959493E+01   0.281732E+01  -0.611994E+00
  -0.959493E+01  -0.281733E+01  -0.611994E+00
  -0.654861E+01  -0.755750E+01  -0.611994E+00
  -0.142315E+01  -0.989822E+01  -0.611994E+00
   0.415415E+01  -0.909632E+01  -0.611994E+00
   0.841254E+01  -0.540640E+01  -0.611994E+00
   0.100000E+02   0.000000E+00  -0.108366E+01
   0.841253E+01   0.540641E+01  -0.108366E+01
   0.415415E+01   0.909632E+01  -0.108366E+01
  -0.142315E+01   0.989821E+01  -0.108366E+01
  -0.654861E+01   0.755749E+01  -0.108366E+01
  -0.959493E+01   0.281732E+01  -0.108366E+01
  -0.959493E+01  -0.281733E+01  -0.108366E+01
  -0.654861E+01  -0.755750E+01  -0.108366E+01
  -0.142315E+01  -0.989822E+01  -0.108366E+01
   0.415415E+01  -0.909632E+01  -0.108366E+01
   0.841254E+01  -0.540640E+01  -0.108366E+01
   0.100000E+02   0.000000E+00  -0.168453E+01
   0.841253E+01   0.540641E+01  -0.168453E+01
   0.415415E+01   0.909632E+01  -0.168453E+01
  -0.142315E+01   0.989821E+01  -0.168453E+01
  -0.654861E+01   0.755749E+01  -0.168453E+01
  -0.959493E+01   0.281732E+01  -0.168453E+01
  -0.959493E+01  -0.281733E+01  -0.168453E+01
  -0.654861E+01  -0.755750E+01  -0.168453E+01
  -0.142315E+01  -0.989822E+01  -0.168453E+01
   0.415415E+01  -0.909632E+01  -0.168453E+01
   0.841254E+01  -0.540640E+01  -0.168453E+01
   0.100000E+02   0.000000E+00  -0.241053E+01
   0.841253E+01   0.540641E+01  -0.241053E+01
   0.415415E+01   0.909632E+01  -0.241053E+01
  -0.142315E+01   0.989821E+01  -0.241053E+01
  -0.654861E+01   0.755749E+01  -0.241053E+01
  -0.959493E+01   0.281732E+01  -0.241053E+01
  -0.959493E+01  -0.281733E+01  -0.241053E+01
  -0.654861E+01  -0.755750E+01  -0.241053E+01
  -0.142315E+01  -0.989822E+01  -0.241053E+01
   0.415415E+01  -0.909632E+01  -0.241053E+01
   0.841254E+01  -0.540640E+01  -0.241053E+01
